scope,image_id,method,frequency_filter,pyramid_levels,nms,noise_sigma,repeatability,localization_error_px,repeated_points,reference_keypoints,scene_keypoints
noise_curve,IMG_0259,Harris,gaussian_lowpass,3,True,0.0,0.8714285714285714,1.6020230054855347,61,70,93
noise_curve,IMG_0259,Harris,gaussian_lowpass,3,True,5.0,0.9142857142857143,1.821913719177246,64,70,99
noise_curve,IMG_0259,Harris,gaussian_lowpass,3,True,10.0,0.8714285714285714,1.6904608011245728,61,70,97
noise_curve,IMG_0259,Harris,gaussian_lowpass,3,True,20.0,0.8571428571428571,1.9091620445251465,60,70,99
noise_curve,IMG_0259,Shi-Tomasi,gaussian_lowpass,3,True,0.0,0.9142857142857143,1.5184704065322876,64,70,91
noise_curve,IMG_0259,Shi-Tomasi,gaussian_lowpass,3,True,5.0,0.8714285714285714,1.578305721282959,61,70,92
noise_curve,IMG_0259,Shi-Tomasi,gaussian_lowpass,3,True,10.0,0.8714285714285714,1.6399550437927246,61,70,98
noise_curve,IMG_0259,Shi-Tomasi,gaussian_lowpass,3,True,20.0,0.8857142857142857,2.0330134630203247,62,70,98
noise_curve,IMG_0259,SIFT,gaussian_lowpass,3,True,0.0,0.8260869565217391,1.3670322895050049,19,23,32
noise_curve,IMG_0259,SIFT,gaussian_lowpass,3,True,5.0,0.782608695652174,1.4015031456947327,18,23,29
noise_curve,IMG_0259,SIFT,gaussian_lowpass,3,True,10.0,0.782608695652174,1.3867482542991638,18,23,28
noise_curve,IMG_0259,SIFT,gaussian_lowpass,3,True,20.0,0.7391304347826086,1.505866527557373,17,23,29
noise_curve,IMG_0259,Sobel,ideal_highpass,3,True,0.0,0.7794117647058824,1.7011321783065796,53,68,80
noise_curve,IMG_0259,Sobel,ideal_highpass,3,True,5.0,0.8529411764705882,1.765990972518921,58,68,86
noise_curve,IMG_0259,Sobel,ideal_highpass,3,True,10.0,0.8823529411764706,1.9176103472709656,60,68,91
noise_curve,IMG_0259,Sobel,ideal_highpass,3,True,20.0,0.8529411764705882,1.9877827763557434,58,68,98
noise_curve,IMG_0259,LoG,ideal_highpass,3,True,0.0,0.7807017543859649,1.7645819187164307,89,114,132
noise_curve,IMG_0259,LoG,ideal_highpass,3,True,5.0,0.8245614035087719,1.8966319561004639,94,114,136
noise_curve,IMG_0259,LoG,ideal_highpass,3,True,10.0,0.8157894736842105,1.7369672060012817,93,114,141
noise_curve,IMG_0259,LoG,ideal_highpass,3,True,20.0,0.8070175438596491,2.181767225265503,92,114,153
noise_curve,IMG_0259,Harris,ideal_highpass,3,True,0.0,0.8378378378378378,1.797194242477417,93,111,177
noise_curve,IMG_0259,Harris,ideal_highpass,3,True,5.0,0.8108108108108109,1.6633069515228271,90,111,174
noise_curve,IMG_0259,Harris,ideal_highpass,3,True,10.0,0.8198198198198198,1.836440086364746,91,111,179
noise_curve,IMG_0259,Harris,ideal_highpass,3,True,20.0,0.8198198198198198,1.8861186504364014,91,111,203
noise_curve,IMG_0259,Shi-Tomasi,ideal_highpass,3,True,0.0,0.7802197802197802,1.8693327903747559,71,91,125
noise_curve,IMG_0259,Shi-Tomasi,ideal_highpass,3,True,5.0,0.7472527472527473,1.7318735122680664,68,91,127
noise_curve,IMG_0259,Shi-Tomasi,ideal_highpass,3,True,10.0,0.7142857142857143,1.7147608995437622,65,91,127
noise_curve,IMG_0259,Shi-Tomasi,ideal_highpass,3,True,20.0,0.7252747252747253,2.1311100721359253,66,91,148
noise_curve,IMG_0259,SIFT,ideal_highpass,3,True,0.0,0.43478260869565216,1.2176249027252197,10,28,23
noise_curve,IMG_0259,SIFT,ideal_highpass,3,True,5.0,0.43478260869565216,1.240477740764618,10,28,23
noise_curve,IMG_0259,SIFT,ideal_highpass,3,True,10.0,0.5,1.3189148902893066,9,28,18
noise_curve,IMG_0259,SIFT,ideal_highpass,3,True,20.0,0.43478260869565216,1.754208505153656,10,28,23
noise_curve,IMG_0259,Sobel,gaussian_highpass,3,True,0.0,0.8688524590163934,2.1164164543151855,53,61,81
noise_curve,IMG_0259,Sobel,gaussian_highpass,3,True,5.0,0.8852459016393442,2.24454402923584,54,61,83
noise_curve,IMG_0259,Sobel,gaussian_highpass,3,True,10.0,0.9180327868852459,2.1868276596069336,56,61,86
noise_curve,IMG_0259,Sobel,gaussian_highpass,3,True,20.0,0.8852459016393442,2.1233123540878296,54,61,100
noise_curve,IMG_0259,LoG,gaussian_highpass,3,True,0.0,0.8363636363636363,1.7366614937782288,92,110,134
noise_curve,IMG_0259,LoG,gaussian_highpass,3,True,5.0,0.8,1.911873459815979,88,110,130
noise_curve,IMG_0259,LoG,gaussian_highpass,3,True,10.0,0.8090909090909091,2.0823473930358887,89,110,133
noise_curve,IMG_0259,LoG,gaussian_highpass,3,True,20.0,0.7818181818181819,1.9693540334701538,86,110,152
noise_curve,IMG_0259,Harris,gaussian_highpass,3,True,0.0,0.8620689655172413,1.7641478776931763,100,116,176
noise_curve,IMG_0259,Harris,gaussian_highpass,3,True,5.0,0.8275862068965517,1.7669174075126648,96,116,171
noise_curve,IMG_0259,Harris,gaussian_highpass,3,True,10.0,0.7586206896551724,1.7669174075126648,88,116,179
noise_curve,IMG_0259,Harris,gaussian_highpass,3,True,20.0,0.7586206896551724,1.9884811043739319,88,116,193
noise_curve,IMG_0259,Shi-Tomasi,gaussian_highpass,3,True,0.0,0.7938144329896907,1.808632731437683,77,97,135
noise_curve,IMG_0259,Shi-Tomasi,gaussian_highpass,3,True,5.0,0.8041237113402062,1.893118679523468,78,97,136
noise_curve,IMG_0259,Shi-Tomasi,gaussian_highpass,3,True,10.0,0.7422680412371134,1.98728746175766,72,97,131
noise_curve,IMG_0259,Shi-Tomasi,gaussian_highpass,3,True,20.0,0.7216494845360825,2.292352080345154,70,97,150
noise_curve,IMG_0259,SIFT,gaussian_highpass,3,True,0.0,0.34782608695652173,1.4831268787384033,8,23,25
noise_curve,IMG_0259,SIFT,gaussian_highpass,3,True,5.0,0.34782608695652173,1.5841093063354492,8,23,26
noise_curve,IMG_0259,SIFT,gaussian_highpass,3,True,10.0,0.30434782608695654,1.4905457496643066,7,23,23
noise_curve,IMG_0259,SIFT,gaussian_highpass,3,True,20.0,0.34782608695652173,1.6188520789146423,8,23,28
noise_curve,IMG_0261,Sobel,none,3,True,0.0,0.9215686274509803,1.91031813621521,47,51,128
noise_curve,IMG_0261,Sobel,none,3,True,5.0,0.9607843137254902,1.8222110271453857,49,51,128
noise_curve,IMG_0261,Sobel,none,3,True,10.0,0.9215686274509803,1.7465728521347046,47,51,142
noise_curve,IMG_0261,Sobel,none,3,True,20.0,0.9215686274509803,1.7706817388534546,47,51,170
noise_curve,IMG_0261,LoG,none,3,True,0.0,0.7532467532467533,2.202191114425659,58,77,217
noise_curve,IMG_0261,LoG,none,3,True,5.0,0.7402597402597403,2.020949602127075,57,77,217
noise_curve,IMG_0261,LoG,none,3,True,10.0,0.7792207792207793,2.0844699144363403,60,77,217
noise_curve,IMG_0261,LoG,none,3,True,20.0,0.7662337662337663,2.128868341445923,59,77,218
noise_curve,IMG_0261,Harris,none,3,True,0.0,0.6989247311827957,2.178089141845703,65,93,218
noise_curve,IMG_0261,Harris,none,3,True,5.0,0.6989247311827957,2.216005802154541,65,93,218
noise_curve,IMG_0261,Harris,none,3,True,10.0,0.6774193548387096,2.1637256145477295,63,93,218
noise_curve,IMG_0261,Harris,none,3,True,20.0,0.6451612903225806,2.2559025287628174,60,93,218
noise_curve,IMG_0261,Shi-Tomasi,none,3,True,0.0,0.6888888888888889,2.0477389693260193,62,90,218
noise_curve,IMG_0261,Shi-Tomasi,none,3,True,5.0,0.6777777777777778,2.036362648010254,61,90,217
