frequency_filter,method,image_scale,count,repeatability,repeatability_std,repeatability_valid_count,localization_error_px,localization_error_px_std,localization_error_px_valid_count
ideal_highpass,Shi-Tomasi,0.5,11,0.48530120331254945,0.14014955866481763,11,2.850328337062489,0.43315506296374534,11
ideal_highpass,Shi-Tomasi,0.75,11,0.5535873719866089,0.10881915857083842,11,2.717212265188044,0.32948601672804556,11
ideal_highpass,Shi-Tomasi,1.0,11,0.6511406953669019,0.1057628858489068,11,2.4582715142856943,0.3145513970384896,11
ideal_highpass,Shi-Tomasi,1.25,11,0.685174461638617,0.07939077852609254,11,2.4488856358961626,0.2989403357972059,11
ideal_highpass,Sobel,0.5,11,0.5256299951148325,0.10296447855845536,11,2.8611101670698686,0.3354999613250095,11
ideal_highpass,Sobel,0.75,11,0.6688020668831464,0.09972990459727987,11,2.4574854373931885,0.28016316647161105,11
ideal_highpass,Sobel,1.0,11,0.7251904631250292,0.10757458607471601,11,2.177628907290372,0.26559655529698634,11
ideal_highpass,Sobel,1.25,11,0.7437232302380888,0.08491405626345393,11,2.2705067612908105,0.2875715301959307,11
ideal_lowpass,Harris,0.5,11,0.5044908250877068,0.06127099898474925,11,2.7913102345033125,0.3050473316610756,11
ideal_lowpass,Harris,0.75,11,0.527390197900406,0.053979111074839096,11,2.4223211895335806,0.23274502604188155,11
ideal_lowpass,Harris,1.0,11,0.5197792828469102,0.08227625971734917,11,2.3538321906870063,0.32368292581305613,11
ideal_lowpass,Harris,1.25,11,0.5327741164404276,0.07213817688875712,11,2.408296303315596,0.3284892465573582,11
ideal_lowpass,LoG,0.5,11,0.478804032000963,0.11666149949482557,11,3.0232586589726536,0.6162932902363839,11
ideal_lowpass,LoG,0.75,11,0.49753359978673456,0.09611448382535583,11,2.7852990410544654,0.32382430348368446,11
ideal_lowpass,LoG,1.0,11,0.5347979620706894,0.0727881692878215,11,2.5499208352782508,0.33722596240457414,11
ideal_lowpass,LoG,1.25,11,0.5120221165675711,0.042261193091065526,11,2.5705965052951467,0.41781276568751713,11
ideal_lowpass,SIFT,0.5,11,0.47549801419770454,0.11508071420348218,11,2.3266769376668064,0.35046880895493915,11
ideal_lowpass,SIFT,0.75,11,0.5813573036870251,0.10502389027948039,11,2.5049026716839182,0.45067883650745943,11
ideal_lowpass,SIFT,1.0,11,0.6336233855583701,0.11438751544017511,11,2.4641829024661672,0.250065114199526,11
ideal_lowpass,SIFT,1.25,11,0.6113261093911248,0.08125926363861886,11,2.578482915054668,0.3948749970246947,11
ideal_lowpass,Shi-Tomasi,0.5,11,0.39223665228243676,0.10115470809781009,11,2.9405830773440274,0.37006371994639736,11
ideal_lowpass,Shi-Tomasi,0.75,11,0.43086365465656035,0.0923906455965077,11,2.4846974069421943,0.24151718094887462,11
ideal_lowpass,Shi-Tomasi,1.0,11,0.5253831083054877,0.07357141944326769,11,2.376674836332148,0.5170883608319055,11
