scope,image_id,capture_group,visible_blur,notes,method,frequency_filter,pyramid_levels,nms,repeatability,matching_accuracy,localization_error_px,matching_error_px,runtime_ms,reference_keypoints,scene_keypoints,raw_reference_keypoints,raw_scene_keypoints,repeated_points,accepted_matches,correct_matches
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,ideal_lowpass,3,True,0.631578947368421,0.7142857142857143,2.6216108798980713,2.80458927154541,796.3371000005282,19,25,19,25,12,7,5
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,gaussian_lowpass,1,True,0.7941176470588235,nan,1.1129614114761353,nan,283.0887000000075,34,34,35,34,27,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,gaussian_lowpass,1,True,0.925,1.0,1.184066653251648,1.5200855731964111,283.8846000004196,40,59,42,61,37,1,1
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,gaussian_lowpass,1,True,0.8852459016393442,0.0,1.6685768961906433,6.337457656860352,309.1260000001057,61,80,65,81,54,1,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,gaussian_lowpass,1,True,0.9298245614035088,1.0,1.4378578662872314,0.912548840045929,311.3103999994564,57,78,59,79,53,3,3
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,gaussian_lowpass,1,True,0.5714285714285714,0.6,1.3091370463371277,1.7098276615142822,617.281599999842,7,8,7,8,4,5,3
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,gaussian_lowpass,2,True,0.8285714285714286,nan,1.210644006729126,nan,346.7016999993575,37,35,38,35,29,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,gaussian_lowpass,2,True,0.9090909090909091,1.0,1.1862093210220337,1.5200855731964111,342.9544000000533,44,63,46,65,40,1,1
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,gaussian_lowpass,2,True,0.8676470588235294,0.0,1.5537147521972656,156.59808349609375,358.4104000001389,68,90,72,91,59,1,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,gaussian_lowpass,2,True,0.9090909090909091,1.0,1.4505040645599365,0.912548840045929,367.028499999833,66,87,68,88,60,3,3
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,gaussian_lowpass,2,True,0.8888888888888888,0.8461538461538461,1.265113115310669,1.2789844274520874,768.0460999999923,18,25,18,25,16,13,11
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,gaussian_lowpass,3,True,0.8285714285714286,nan,1.210644006729126,nan,351.76419999970676,38,35,39,35,29,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,gaussian_lowpass,3,True,0.9130434782608695,1.0,1.1965035200119019,2.5794754028320312,347.19570000015665,46,66,48,68,42,2,2
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,gaussian_lowpass,3,True,0.8714285714285714,0.0,1.6020230054855347,156.59808349609375,397.6369000001796,70,93,74,94,61,1,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,gaussian_lowpass,3,True,0.9142857142857143,1.0,1.5184704065322876,2.814852237701416,373.8028000007034,70,91,72,92,64,4,4
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,gaussian_lowpass,3,True,0.8260869565217391,0.7333333333333333,1.3670322895050049,1.3670322895050049,785.7685999997557,23,32,24,33,19,15,11
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,ideal_highpass,1,True,0.7924528301886793,nan,1.6048515439033508,nan,293.93849999996746,53,57,55,57,42,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,ideal_highpass,1,True,0.7555555555555555,nan,1.80476576089859,nan,288.82210000028863,90,100,91,103,68,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,ideal_highpass,1,True,0.826530612244898,nan,1.3520398139953613,nan,336.3156000004892,98,156,102,156,81,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,ideal_highpass,1,True,0.7866666666666666,nan,2.071805477142334,nan,315.60630000058154,75,111,78,113,59,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,ideal_highpass,1,True,0.875,1.0,1.2046955823898315,0.3264038860797882,791.9031999999788,11,8,11,9,7,3,3
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Sobel,ideal_highpass,2,True,0.7846153846153846,nan,1.6513601541519165,nan,362.7532999998948,65,78,68,78,51,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",LoG,ideal_highpass,2,True,0.794392523364486,nan,1.7645819187164307,nan,359.8528000002261,107,126,110,130,85,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Harris,ideal_highpass,2,True,0.8598130841121495,nan,1.8155099153518677,nan,394.3918000004487,107,173,111,177,92,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",Shi-Tomasi,ideal_highpass,2,True,0.8235294117647058,nan,1.8476081490516663,nan,358.9609000000564,85,124,88,126,70,0,0
main_grid,IMG_0259,aisle,low,"More distant view, oblique page, diagonal shadow.",SIFT,ideal_highpass,2,True,0.5714285714285714,1.0,1.2176249027252197,0.3264038860797882,1020.9882999997717,17,14,18,16,8,3,3
