scope,image_id,method,frequency_filter,pyramid_levels,nms,noise_sigma,repeatability,localization_error_px,repeated_points,reference_keypoints,scene_keypoints
noise_curve,syn_02,LoG,gaussian_lowpass,3,True,5.0,0.5545454545454546,1.6091266870498657,122,220,220
noise_curve,syn_02,LoG,gaussian_lowpass,3,True,10.0,0.5409090909090909,1.6802524328231812,119,220,220
noise_curve,syn_02,LoG,gaussian_lowpass,3,True,20.0,0.5272727272727272,1.6439255475997925,116,220,220
noise_curve,syn_02,Harris,gaussian_lowpass,3,True,0.0,0.8954545454545455,0.6319666504859924,197,220,220
noise_curve,syn_02,Harris,gaussian_lowpass,3,True,5.0,0.8818181818181818,0.6310818493366241,194,220,220
noise_curve,syn_02,Harris,gaussian_lowpass,3,True,10.0,0.8772727272727273,0.683411717414856,193,220,220
noise_curve,syn_02,Harris,gaussian_lowpass,3,True,20.0,0.8681818181818182,0.6620837450027466,191,220,220
noise_curve,syn_02,Shi-Tomasi,gaussian_lowpass,3,True,0.0,0.8409090909090909,0.6573042273521423,185,220,220
noise_curve,syn_02,Shi-Tomasi,gaussian_lowpass,3,True,5.0,0.8409090909090909,0.6374016404151917,185,220,220
noise_curve,syn_02,Shi-Tomasi,gaussian_lowpass,3,True,10.0,0.8409090909090909,0.6361130475997925,185,220,220
noise_curve,syn_02,Shi-Tomasi,gaussian_lowpass,3,True,20.0,0.8227272727272728,0.6573042273521423,181,220,220
noise_curve,syn_02,SIFT,gaussian_lowpass,3,True,0.0,0.8181818181818182,0.2117391675710678,180,220,220
noise_curve,syn_02,SIFT,gaussian_lowpass,3,True,5.0,0.8272727272727273,0.20671414583921432,182,220,220
noise_curve,syn_02,SIFT,gaussian_lowpass,3,True,10.0,0.85,0.23701217770576477,187,220,220
noise_curve,syn_02,SIFT,gaussian_lowpass,3,True,20.0,0.8,0.31134194135665894,176,220,220
noise_curve,syn_02,Sobel,ideal_highpass,3,True,0.0,0.5681818181818182,1.7186967134475708,125,220,220
noise_curve,syn_02,Sobel,ideal_highpass,3,True,5.0,0.5727272727272728,1.5214751362800598,126,220,220
noise_curve,syn_02,Sobel,ideal_highpass,3,True,10.0,0.5590909090909091,1.4870315790176392,123,220,220
noise_curve,syn_02,Sobel,ideal_highpass,3,True,20.0,0.5772727272727273,1.816785454750061,127,220,220
noise_curve,syn_02,LoG,ideal_highpass,3,True,0.0,0.7045454545454546,0.5290215015411377,155,220,220
noise_curve,syn_02,LoG,ideal_highpass,3,True,5.0,0.7045454545454546,0.5440807938575745,155,220,220
noise_curve,syn_02,LoG,ideal_highpass,3,True,10.0,0.7,0.58236163854599,154,220,220
noise_curve,syn_02,LoG,ideal_highpass,3,True,20.0,0.65,0.6349892020225525,143,220,220
noise_curve,syn_02,Harris,ideal_highpass,3,True,0.0,0.7909090909090909,0.5557823181152344,174,220,220
noise_curve,syn_02,Harris,ideal_highpass,3,True,5.0,0.7818181818181819,0.5951201021671295,172,220,220
noise_curve,syn_02,Harris,ideal_highpass,3,True,10.0,0.7863636363636364,0.6166043281555176,173,220,220
noise_curve,syn_02,Harris,ideal_highpass,3,True,20.0,0.7636363636363637,0.6918184757232666,168,220,220
noise_curve,syn_02,Shi-Tomasi,ideal_highpass,3,True,0.0,0.8045454545454546,0.6612458825111389,177,220,220
noise_curve,syn_02,Shi-Tomasi,ideal_highpass,3,True,5.0,0.7954545454545454,0.6741122007369995,175,220,220
noise_curve,syn_02,Shi-Tomasi,ideal_highpass,3,True,10.0,0.7727272727272727,0.7088263928890228,170,220,220
noise_curve,syn_02,Shi-Tomasi,ideal_highpass,3,True,20.0,0.759090909090909,0.8619114756584167,167,220,220
noise_curve,syn_02,SIFT,ideal_highpass,3,True,0.0,0.6272727272727273,0.6611464619636536,138,220,220
noise_curve,syn_02,SIFT,ideal_highpass,3,True,5.0,0.5954545454545455,0.6051772832870483,131,220,220
noise_curve,syn_02,SIFT,ideal_highpass,3,True,10.0,0.5727272727272728,0.48540687561035156,126,220,220
noise_curve,syn_02,SIFT,ideal_highpass,3,True,20.0,0.4636363636363636,0.4631420820951462,102,220,220
noise_curve,syn_02,Sobel,gaussian_highpass,3,True,0.0,0.4909090909090909,1.3875547051429749,108,220,220
noise_curve,syn_02,Sobel,gaussian_highpass,3,True,5.0,0.4681818181818182,1.6061452627182007,103,220,220
noise_curve,syn_02,Sobel,gaussian_highpass,3,True,10.0,0.4954545454545455,1.7610135078430176,109,220,220
noise_curve,syn_02,Sobel,gaussian_highpass,3,True,20.0,0.5136363636363637,1.925650715827942,113,220,220
noise_curve,syn_02,LoG,gaussian_highpass,3,True,0.0,0.6909090909090909,0.5441928207874298,152,220,220
noise_curve,syn_02,LoG,gaussian_highpass,3,True,5.0,0.6727272727272727,0.5389474332332611,148,220,220
noise_curve,syn_02,LoG,gaussian_highpass,3,True,10.0,0.6545454545454545,0.5334095060825348,144,220,220
noise_curve,syn_02,LoG,gaussian_highpass,3,True,20.0,0.6363636363636364,0.5816767811775208,140,220,220
noise_curve,syn_02,Harris,gaussian_highpass,3,True,0.0,0.759090909090909,0.5883511304855347,167,220,220
noise_curve,syn_02,Harris,gaussian_highpass,3,True,5.0,0.7681818181818182,0.5783312916755676,169,220,220
noise_curve,syn_02,Harris,gaussian_highpass,3,True,10.0,0.7681818181818182,0.5919344425201416,169,220,220
noise_curve,syn_02,Harris,gaussian_highpass,3,True,20.0,0.740909090909091,0.6821200847625732,163,220,220
noise_curve,syn_02,Shi-Tomasi,gaussian_highpass,3,True,0.0,0.8136363636363636,0.5618721842765808,179,220,220
noise_curve,syn_02,Shi-Tomasi,gaussian_highpass,3,True,5.0,0.8045454545454546,0.6558558940887451,177,220,220
noise_curve,syn_02,Shi-Tomasi,gaussian_highpass,3,True,10.0,0.7772727272727272,0.668424129486084,171,220,220
noise_curve,syn_02,Shi-Tomasi,gaussian_highpass,3,True,20.0,0.740909090909091,0.7544460892677307,163,220,220
noise_curve,syn_02,SIFT,gaussian_highpass,3,True,0.0,0.6454545454545455,0.30451247096061707,142,220,220
noise_curve,syn_02,SIFT,gaussian_highpass,3,True,5.0,0.6818181818181818,0.32943645119667053,150,220,220
noise_curve,syn_02,SIFT,gaussian_highpass,3,True,10.0,0.6045454545454545,0.3230089843273163,133,220,220
noise_curve,syn_02,SIFT,gaussian_highpass,3,True,20.0,0.4818181818181818,0.38520222902297974,106,220,220
noise_curve,syn_03,Sobel,none,3,True,0.0,0.2,1.9009516835212708,44,220,220
noise_curve,syn_03,Sobel,none,3,True,5.0,0.18636363636363637,2.268282890319824,41,220,220
noise_curve,syn_03,Sobel,none,3,True,10.0,0.16818181818181818,2.2822630405426025,37,220,220
noise_curve,syn_03,Sobel,none,3,True,20.0,0.16818181818181818,2.3750696182250977,37,220,220
noise_curve,syn_03,LoG,none,3,True,0.0,0.07727272727272727,0.6141663193702698,17,220,220
noise_curve,syn_03,LoG,none,3,True,5.0,0.06818181818181818,0.5405251979827881,15,220,220
noise_curve,syn_03,LoG,none,3,True,10.0,0.07727272727272727,0.5905371308326721,17,220,220
noise_curve,syn_03,LoG,none,3,True,20.0,0.08636363636363636,0.9922531843185425,19,220,220
noise_curve,syn_03,Harris,none,3,True,0.0,0.6772727272727272,0.615203857421875,149,220,220
noise_curve,syn_03,Harris,none,3,True,5.0,0.6909090909090909,0.6258689761161804,152,220,220
noise_curve,syn_03,Harris,none,3,True,10.0,0.6636363636363637,0.7814098298549652,146,220,220
noise_curve,syn_03,Harris,none,3,True,20.0,0.5636363636363636,1.2137936353683472,124,220,220
noise_curve,syn_03,Shi-Tomasi,none,3,True,0.0,0.6818181818181818,0.8671824038028717,150,220,220
noise_curve,syn_03,Shi-Tomasi,none,3,True,5.0,0.6954545454545454,1.1270579099655151,153,220,220
noise_curve,syn_03,Shi-Tomasi,none,3,True,10.0,0.6772727272727272,1.2387627363204956,149,220,220
noise_curve,syn_03,Shi-Tomasi,none,3,True,20.0,0.65,1.2139455080032349,143,220,220
noise_curve,syn_03,SIFT,none,3,True,0.0,0.45454545454545453,0.47289322316646576,100,220,220
noise_curve,syn_03,SIFT,none,3,True,5.0,0.4772727272727273,0.5367643237113953,105,220,220
noise_curve,syn_03,SIFT,none,3,True,10.0,0.41363636363636364,0.4825502932071686,91,220,220
noise_curve,syn_03,SIFT,none,3,True,20.0,0.2818181818181818,0.7342728078365326,62,220,220
noise_curve,syn_03,Sobel,ideal_lowpass,3,True,0.0,0.42727272727272725,1.7199699878692627,94,220,220
noise_curve,syn_03,Sobel,ideal_lowpass,3,True,5.0,0.4,1.7282143235206604,88,220,220
noise_curve,syn_03,Sobel,ideal_lowpass,3,True,10.0,0.42727272727272725,1.76353919506073,94,220,220
noise_curve,syn_03,Sobel,ideal_lowpass,3,True,20.0,0.41818181818181815,1.9898061752319336,92,220,220
noise_curve,syn_03,LoG,ideal_lowpass,3,True,0.0,0.4636363636363636,2.135752558708191,102,220,220
noise_curve,syn_03,LoG,ideal_lowpass,3,True,5.0,0.45454545454545453,1.99138605594635,100,220,220
noise_curve,syn_03,LoG,ideal_lowpass,3,True,10.0,0.4681818181818182,2.0923054218292236,103,220,220
noise_curve,syn_03,LoG,ideal_lowpass,3,True,20.0,0.4636363636363636,2.1350276470184326,102,220,220
